S.N,Device,PM 2.5,Calibrated PM 2.5,Inserted Date
69,AQM Budhanilkantha,70,50.28,2018-11-30 12:21:58 ( Asia/Katmandu)
70,AQM Budhanilkantha,94,67.18,2018-11-30 12:11:58 ( Asia/Katmandu)
71,AQM Budhanilkantha,109,77.74,2018-11-30 12:01:58 ( Asia/Katmandu)
72,AQM Budhanilkantha,123,87.6,2018-11-30 11:51:58 ( Asia/Katmandu)
73,AQM Budhanilkantha,183,129.85,2018-11-30 11:41:58 ( Asia/Katmandu)
74,AQM Budhanilkantha,43,31.27,2018-11-30 11:31:58 ( Asia/Katmandu)
75,AQM Budhanilkantha,43,31.27,2018-11-30 11:21:58 ( Asia/Katmandu)
76,AQM Budhanilkantha,46,33.38,2018-11-30 11:11:58 ( Asia/Katmandu)
77,AQM Budhanilkantha,51,36.9,2018-11-30 11:01:58 ( Asia/Katmandu)
78,AQM Budhanilkantha,51,36.9,2018-11-30 10:51:58 ( Asia/Katmandu)
79,AQM Budhanilkantha,64,46.05,2018-11-30 10:41:58 ( Asia/Katmandu)
80,AQM Budhanilkantha,70,50.28,2018-11-30 10:31:58 ( Asia/Katmandu)
81,AQM Budhanilkantha,82,58.73,2018-11-30 10:21:58 ( Asia/Katmandu)
82,AQM Budhanilkantha,79,56.62,2018-11-30 10:11:58 ( Asia/Katmandu)
83,AQM Budhanilkantha,85,60.84,2018-11-30 10:01:58 ( Asia/Katmandu)
84,AQM Budhanilkantha,92,65.77,2018-11-30 09:51:58 ( Asia/Katmandu)
85,AQM Budhanilkantha,87,62.25,2018-11-30 09:41:58 ( Asia/Katmandu)
86,AQM Budhanilkantha,112,79.86,2018-11-30 09:31:59 ( Asia/Katmandu)
87,AQM Budhanilkantha,122,86.9,2018-11-30 09:21:59 ( Asia/Katmandu)
88,AQM Budhanilkantha,134,95.35,2018-11-30 09:11:59 ( Asia/Katmandu)
89,AQM Budhanilkantha,136,96.76,2018-11-30 09:01:59 ( Asia/Katmandu)
90,AQM Budhanilkantha,145,103.09,2018-11-30 08:51:59 ( Asia/Katmandu)
91,AQM Budhanilkantha,143,101.68,2018-11-30 08:41:59 ( Asia/Katmandu)
92,AQM Budhanilkantha,161,114.36,2018-11-30 08:31:59 ( Asia/Katmandu)
93,AQM Budhanilkantha,149,105.91,2018-11-30 08:21:59 ( Asia/Katmandu)
94,AQM Budhanilkantha,139,98.87,2018-11-30 08:13:33 ( Asia/Katmandu)
95,AQM Budhanilkantha,83,59.43,2018-11-30 08:01:59 ( Asia/Katmandu)
96,AQM Budhanilkantha,88,62.95,2018-11-30 07:51:59 ( Asia/Katmandu)
97,AQM Budhanilkantha,105,74.93,2018-11-30 07:41:59 ( Asia/Katmandu)
98,AQM Budhanilkantha,106,75.63,2018-11-30 07:31:59 ( Asia/Katmandu)
99,AQM Budhanilkantha,100,71.4,2018-11-30 07:21:59 ( Asia/Katmandu)
100,AQM Budhanilkantha,110,78.45,2018-11-30 07:11:59 ( Asia/Katmandu)
101,AQM Budhanilkantha,73,52.39,2018-11-30 07:01:59 ( Asia/Katmandu)
102,AQM Budhanilkantha,65,46.76,2018-11-30 06:51:59 ( Asia/Katmandu)
103,AQM Budhanilkantha,60,43.24,2018-11-30 06:41:59 ( Asia/Katmandu)
104,AQM Budhanilkantha,67,48.17,2018-11-30 06:32:31 ( Asia/Katmandu)
105,AQM Budhanilkantha,56,40.42,2018-11-30 06:21:59 ( Asia/Katmandu)
106,AQM Budhanilkantha,60,43.24,2018-11-30 06:11:59 ( Asia/Katmandu)
107,AQM Budhanilkantha,55,39.72,2018-11-30 06:01:59 ( Asia/Katmandu)
108,AQM Budhanilkantha,62,44.65,2018-11-30 05:51:59 ( Asia/Katmandu)
109,AQM Budhanilkantha,56,40.42,2018-11-30 05:41:59 ( Asia/Katmandu)
110,AQM Budhanilkantha,51,36.9,2018-11-30 05:31:59 ( Asia/Katmandu)
111,AQM Budhanilkantha,60,43.24,2018-11-30 05:21:59 ( Asia/Katmandu)
112,AQM Budhanilkantha,57,41.13,2018-11-30 05:11:59 ( Asia/Katmandu)
113,AQM Budhanilkantha,61,43.94,2018-11-30 05:01:59 ( Asia/Katmandu)
114,AQM Budhanilkantha,53,38.31,2018-11-30 04:51:59 ( Asia/Katmandu)
115,AQM Budhanilkantha,53,38.31,2018-11-30 04:41:59 ( Asia/Katmandu)
116,AQM Budhanilkantha,54,39.01,2018-11-30 04:31:59 ( Asia/Katmandu)
117,AQM Budhanilkantha,53,38.31,2018-11-30 04:21:59 ( Asia/Katmandu)
118,AQM Budhanilkantha,56,40.42,2018-11-30 04:11:59 ( Asia/Katmandu)
119,AQM Budhanilkantha,47,34.08,2018-11-30 04:01:59 ( Asia/Katmandu)
120,AQM Budhanilkantha,40,29.15,2018-11-30 03:51:59 ( Asia/Katmandu)
121,AQM Budhanilkantha,43,31.27,2018-11-30 03:41:59 ( Asia/Katmandu)
122,AQM Budhanilkantha,40,29.15,2018-11-30 03:31:59 ( Asia/Katmandu)
123,AQM Budhanilkantha,41,29.86,2018-11-30 03:21:59 ( Asia/Katmandu)
124,AQM Budhanilkantha,44,31.97,2018-11-30 03:11:59 ( Asia/Katmandu)
125,AQM Budhanilkantha,32,23.52,2018-11-30 03:01:59 ( Asia/Katmandu)
126,AQM Budhanilkantha,36,26.34,2018-11-30 02:51:59 ( Asia/Katmandu)
127,AQM Budhanilkantha,35,25.63,2018-11-30 02:41:59 ( Asia/Katmandu)
128,AQM Budhanilkantha,41,29.86,2018-11-30 02:31:59 ( Asia/Katmandu)
129,AQM Budhanilkantha,32,23.52,2018-11-30 02:22:00 ( Asia/Katmandu)
130,AQM Budhanilkantha,32,23.52,2018-11-30 02:12:00 ( Asia/Katmandu)
131,AQM Budhanilkantha,31,22.82,2018-11-30 02:02:00 ( Asia/Katmandu)
132,AQM Budhanilkantha,33,24.23,2018-11-30 01:52:00 ( Asia/Katmandu)
133,AQM Budhanilkantha,38,27.75,2018-11-30 01:42:00 ( Asia/Katmandu)
134,AQM Budhanilkantha,35,25.63,2018-11-30 01:34:59 ( Asia/Katmandu)
135,AQM Budhanilkantha,37,27.04,2018-11-30 01:22:00 ( Asia/Katmandu)
136,AQM Budhanilkantha,38,27.75,2018-11-30 01:12:00 ( Asia/Katmandu)
137,AQM Budhanilkantha,43,31.27,2018-11-30 01:02:00 ( Asia/Katmandu)
138,AQM Budhanilkantha,47,34.08,2018-11-30 00:53:27 ( Asia/Katmandu)
139,AQM Budhanilkantha,39,28.45,2018-11-30 00:42:00 ( Asia/Katmandu)
140,AQM Budhanilkantha,42,30.56,2018-11-30 00:32:00 ( Asia/Katmandu)
141,AQM Budhanilkantha,42,30.56,2018-11-30 00:22:00 ( Asia/Katmandu)
142,AQM Budhanilkantha,39,28.45,2018-11-30 00:12:00 ( Asia/Katmandu)
143,AQM Budhanilkantha,43,31.27,2018-11-30 00:02:00 ( Asia/Katmandu)
144,AQM Budhanilkantha,35,25.63,2018-11-29 23:52:00 ( Asia/Katmandu)
145,AQM Budhanilkantha,39,28.45,2018-11-29 23:42:00 ( Asia/Katmandu)
146,AQM Budhanilkantha,39,28.45,2018-11-29 23:32:00 ( Asia/Katmandu)
147,AQM Budhanilkantha,32,23.52,2018-11-29 23:22:00 ( Asia/Katmandu)
148,AQM Budhanilkantha,32,23.52,2018-11-29 23:12:00 ( Asia/Katmandu)
149,AQM Budhanilkantha,34,24.93,2018-11-29 23:02:00 ( Asia/Katmandu)
150,AQM Budhanilkantha,28,20.7,2018-11-29 22:52:00 ( Asia/Katmandu)
151,AQM Budhanilkantha,34,24.93,2018-11-29 22:42:00 ( Asia/Katmandu)
152,AQM Budhanilkantha,38,27.75,2018-11-29 22:32:00 ( Asia/Katmandu)
153,AQM Budhanilkantha,34,24.93,2018-11-29 22:12:00 ( Asia/Katmandu)
154,AQM Budhanilkantha,38,27.75,2018-11-29 22:02:00 ( Asia/Katmandu)
155,AQM Budhanilkantha,40,29.15,2018-11-29 21:52:00 ( Asia/Katmandu)
156,AQM Budhanilkantha,37,27.04,2018-11-29 21:42:00 ( Asia/Katmandu)
157,AQM Budhanilkantha,36,26.34,2018-11-29 21:32:00 ( Asia/Katmandu)
158,AQM Budhanilkantha,38,27.75,2018-11-29 21:22:00 ( Asia/Katmandu)
159,AQM Budhanilkantha,37,27.04,2018-11-29 21:12:00 ( Asia/Katmandu)
160,AQM Budhanilkantha,46,33.38,2018-11-29 21:02:00 ( Asia/Katmandu)
161,AQM Budhanilkantha,44,31.97,2018-11-29 20:52:00 ( Asia/Katmandu)
162,AQM Budhanilkantha,46,33.38,2018-11-29 20:42:00 ( Asia/Katmandu)
163,AQM Budhanilkantha,52,37.6,2018-11-29 20:32:00 ( Asia/Katmandu)
164,AQM Budhanilkantha,51,36.9,2018-11-29 20:22:01 ( Asia/Katmandu)
165,AQM Budhanilkantha,53,38.31,2018-11-29 20:12:01 ( Asia/Katmandu)
166,AQM Budhanilkantha,56,40.42,2018-11-29 20:02:01 ( Asia/Katmandu)
167,AQM Budhanilkantha,65,46.76,2018-11-29 19:42:01 ( Asia/Katmandu)
168,AQM Budhanilkantha,77,55.21,2018-11-29 19:32:01 ( Asia/Katmandu)
169,AQM Budhanilkantha,100,71.4,2018-11-29 19:22:01 ( Asia/Katmandu)
170,AQM Budhanilkantha,112,79.86,2018-11-29 19:12:01 ( Asia/Katmandu)
171,AQM Budhanilkantha,128,91.12,2018-11-29 19:02:01 ( Asia/Katmandu)
172,AQM Budhanilkantha,120,85.49,2018-11-29 18:52:01 ( Asia/Katmandu)
173,AQM Budhanilkantha,99,70.7,2018-11-29 18:42:01 ( Asia/Katmandu)
174,AQM Budhanilkantha,85,60.84,2018-11-29 18:32:01 ( Asia/Katmandu)
175,AQM Budhanilkantha,66,47.46,2018-11-29 18:22:01 ( Asia/Katmandu)
176,AQM Budhanilkantha,66,47.46,2018-11-29 18:12:01 ( Asia/Katmandu)
177,AQM Budhanilkantha,60,43.24,2018-11-29 18:02:01 ( Asia/Katmandu)
178,AQM Budhanilkantha,57,41.13,2018-11-29 17:52:01 ( Asia/Katmandu)
179,AQM Budhanilkantha,60,43.24,2018-11-29 17:42:01 ( Asia/Katmandu)
180,AQM Budhanilkantha,56,40.42,2018-11-29 17:32:01 ( Asia/Katmandu)
181,AQM Budhanilkantha,45,32.68,2018-11-29 17:22:01 ( Asia/Katmandu)
182,AQM Budhanilkantha,45,32.68,2018-11-29 17:12:01 ( Asia/Katmandu)
183,AQM Budhanilkantha,44,31.97,2018-11-29 17:02:01 ( Asia/Katmandu)
184,AQM Budhanilkantha,42,30.56,2018-11-29 16:52:01 ( Asia/Katmandu)
185,AQM Budhanilkantha,44,31.97,2018-11-29 16:42:01 ( Asia/Katmandu)
186,AQM Budhanilkantha,36,26.34,2018-11-29 16:32:01 ( Asia/Katmandu)
187,AQM Budhanilkantha,39,28.45,2018-11-29 16:22:01 ( Asia/Katmandu)
188,AQM Budhanilkantha,44,31.97,2018-11-29 16:12:01 ( Asia/Katmandu)
189,AQM Budhanilkantha,44,31.97,2018-11-29 16:02:01 ( Asia/Katmandu)
190,AQM Budhanilkantha,42,30.56,2018-11-29 15:52:01 ( Asia/Katmandu)
191,AQM Budhanilkantha,40,29.15,2018-11-29 15:42:01 ( Asia/Katmandu)
192,AQM Budhanilkantha,33,24.23,2018-11-29 15:32:01 ( Asia/Katmandu)
193,AQM Budhanilkantha,42,30.56,2018-11-29 15:22:01 ( Asia/Katmandu)
194,AQM Budhanilkantha,39,28.45,2018-11-29 15:12:01 ( Asia/Katmandu)
195,AQM Budhanilkantha,34,24.93,2018-11-29 15:02:01 ( Asia/Katmandu)
196,AQM Budhanilkantha,39,28.45,2018-11-29 14:52:01 ( Asia/Katmandu)
197,AQM Budhanilkantha,44,31.97,2018-11-29 14:42:01 ( Asia/Katmandu)
198,AQM Budhanilkantha,41,29.86,2018-11-29 14:32:01 ( Asia/Katmandu)
199,AQM Budhanilkantha,43,31.27,2018-11-29 14:17:04 ( Asia/Katmandu)
200,AQM Budhanilkantha,45,32.68,2018-11-29 14:12:01 ( Asia/Katmandu)
201,AQM Budhanilkantha,47,34.08,2018-11-29 14:02:01 ( Asia/Katmandu)
202,AQM Budhanilkantha,52,37.6,2018-11-29 13:52:01 ( Asia/Katmandu)
203,AQM Budhanilkantha,55,39.72,2018-11-29 13:42:01 ( Asia/Katmandu)
204,AQM Budhanilkantha,60,43.24,2018-11-29 13:32:01 ( Asia/Katmandu)
205,AQM Budhanilkantha,71,50.98,2018-11-29 13:22:01 ( Asia/Katmandu)
206,AQM Budhanilkantha,55,39.72,2018-11-29 13:12:01 ( Asia/Katmandu)
207,AQM Budhanilkantha,66,47.46,2018-11-29 13:02:02 ( Asia/Katmandu)
