S.N,Device,PM 2.5,Calibrated PM 2.5,Inserted Date
72,AQM Putalisadak,73,50.32,2018-11-30 11:45:07 ( Asia/Katmandu)
73,AQM Putalisadak,71,48.98,2018-11-30 11:34:44 ( Asia/Katmandu)
74,AQM Putalisadak,71,48.98,2018-11-30 11:24:37 ( Asia/Katmandu)
75,AQM Putalisadak,63,43.61,2018-11-30 11:14:37 ( Asia/Katmandu)
76,AQM Putalisadak,68,46.97,2018-11-30 11:05:03 ( Asia/Katmandu)
77,AQM Putalisadak,81,55.68,2018-11-30 10:54:41 ( Asia/Katmandu)
78,AQM Putalisadak,45,31.54,2018-11-30 10:45:10 ( Asia/Katmandu)
79,AQM Putalisadak,56,38.92,2018-11-30 10:35:40 ( Asia/Katmandu)
80,AQM Putalisadak,87,59.71,2018-11-30 10:24:45 ( Asia/Katmandu)
81,AQM Putalisadak,90,61.72,2018-11-30 10:14:39 ( Asia/Katmandu)
82,AQM Putalisadak,115,78.49,2018-11-30 10:05:14 ( Asia/Katmandu)
83,AQM Putalisadak,134,91.23,2018-11-30 09:55:13 ( Asia/Katmandu)
84,AQM Putalisadak,139,94.58,2018-11-30 09:45:16 ( Asia/Katmandu)
85,AQM Putalisadak,174,118.06,2018-11-30 09:35:17 ( Asia/Katmandu)
86,AQM Putalisadak,171,116.05,2018-11-30 09:25:15 ( Asia/Katmandu)
87,AQM Putalisadak,126,85.87,2018-11-30 09:15:10 ( Asia/Katmandu)
88,AQM Putalisadak,165,112.02,2018-11-30 09:05:15 ( Asia/Katmandu)
89,AQM Putalisadak,132,89.89,2018-11-30 08:55:09 ( Asia/Katmandu)
90,AQM Putalisadak,145,98.61,2018-11-30 08:44:36 ( Asia/Katmandu)
91,AQM Putalisadak,141,95.93,2018-11-30 08:35:06 ( Asia/Katmandu)
92,AQM Putalisadak,151,102.63,2018-11-30 08:24:11 ( Asia/Katmandu)
93,AQM Putalisadak,150,101.96,2018-11-30 08:14:17 ( Asia/Katmandu)
